Time	ResultSignal
0	3.62083
1e-05	3.61809
2e-05	3.61335
3e-05	3.6066
4e-05	3.59787
5e-05	3.58718
6e-05	3.57454
7e-05	3.55998
8e-05	3.54353
9e-05	3.52521
0.0001	3.50505
0.00011	3.4831
0.00012	3.45938
0.00013	3.43394
0.00014	3.40683
0.00015	3.37807
0.00016	3.34773
0.00017	3.31586
0.00018	3.28249
0.00019	3.2477
0.0002	3.21153
0.00021	3.17404
0.00022	3.13529
0.00023	3.09535
0.00024	3.05428
0.00025	3.01213
0.00026	2.96899
0.00027	2.9249
0.00028	2.87995
0.00029	2.8342
0.0003	2.78772
0.00031	2.74059
0.00032	2.69286
0.00033	2.64462
0.00034	2.59593
0.00035	2.54688
0.00036	2.49752
0.00037	2.44793
0.00038	2.39819
0.00039	2.34836
0.0004	2.29852
0.00041	2.24873
0.00042	2.19906
0.00043	2.14959
0.00044	2.10038
0.00045	2.05149
0.00046	2.003
0.00047	1.95496
0.00048	1.90743
0.00049	1.86048
0.0005	1.81417
0.00051	1.76855
0.00052	1.72368
0.00053	1.67961
0.00054	1.63639
0.00055	1.59407
0.00056	1.5527
0.00057	1.51231
0.00058	1.47296
0.00059	1.43469
0.0006	1.39752
0.00061	1.36149
0.00062	1.32664
0.00063	1.293
0.00064	1.26058
0.00065	1.22943
0.00066	1.19954
0.00067	1.17096
0.00068	1.14368
0.00069	1.11773
0.0007	1.09311
0.00071	1.06983
0.00072	1.04791
0.00073	1.02733
0.00074	1.0081
0.00075	0.990226
0.00076	0.973691
0.00077	0.958492
0.00078	0.94462
0.00079	0.932061
0.0008	0.920801
0.00081	0.910825
0.00082	0.902113
0.00083	0.894645
0.00084	0.888398
0.00085	0.883347
0.00086	0.879467
0.00087	0.876728
0.00088	0.875103
0.00089	0.874559
0.0009	0.875065
0.00091	0.876586
0.00092	0.879089
0.00093	0.882537
0.00094	0.886893
0.00095	0.892119
0.00096	0.898179
0.00097	0.905032
0.00098	0.912639
0.00099	0.920961
0.001	0.929957
0.00101	0.939588
0.00102	0.949813
0.00103	0.960592
0.00104	0.971886
0.00105	0.983655
0.00106	0.995859
0.00107	1.00846
0.00108	1.02142
0.00109	1.0347
0.0011	1.04827
0.00111	1.06209
0.00112	1.07612
0.00113	1.09034
0.00114	1.1047
0.00115	1.11918
0.00116	1.13375
0.00117	1.14837
0.00118	1.16303
0.00119	1.1777
0.0012	1.19235
0.00121	1.20695
0.00122	1.2215
0.00123	1.23596
0.00124	1.25032
0.00125	1.26457
0.00126	1.27869
0.00127	1.29266
0.00128	1.30648
0.00129	1.32014
0.0013	1.33362
0.00131	1.34693
0.00132	1.36006
0.00133	1.373
0.00134	1.38576
0.00135	1.39833
0.00136	1.41072
0.00137	1.42293
0.00138	1.43496
0.00139	1.44682
0.0014	1.45853
0.00141	1.47008
0.00142	1.48149
0.00143	1.49277
0.00144	1.50393
0.00145	1.51498
0.00146	1.52595
0.00147	1.53684
0.00148	1.54766
0.00149	1.55845
0.0015	1.56921
0.00151	1.57996
0.00152	1.59071
0.00153	1.6015
0.00154	1.61233
0.00155	1.62322
0.00156	1.63419
0.00157	1.64527
0.00158	1.65646
0.00159	1.66779
0.0016	1.67927
0.00161	1.69093
0.00162	1.70277
0.00163	1.71482
0.00164	1.72708
0.00165	1.73958
0.00166	1.75232
0.00167	1.76532
0.00168	1.7786
0.00169	1.79215
0.0017	1.80599
0.00171	1.82014
0.00172	1.83458
0.00173	1.84934
0.00174	1.86441
0.00175	1.87979
0.00176	1.89549
0.00177	1.91151
0.00178	1.92785
0.00179	1.94449
0.0018	1.96144
0.00181	1.97869
0.00182	1.99623
0.00183	2.01405
0.00184	2.03213
0.00185	2.05047
0.00186	2.06905
0.00187	2.08785
0.00188	2.10686
0.00189	2.12605
0.0019	2.14541
0.00191	2.16491
0.00192	2.18452
0.00193	2.20423
0.00194	2.22399
0.00195	2.2438
0.00196	2.26361
0.00197	2.2834
0.00198	2.30314
0.00199	2.32279
0.002	2.34232
0.00201	2.36169
0.00202	2.38087
0.00203	2.39983
0.00204	2.41853
0.00205	2.43694
0.00206	2.455
0.00207	2.4727
0.00208	2.48999
0.00209	2.50684
0.0021	2.5232
0.00211	2.53904
0.00212	2.55433
0.00213	2.56902
0.00214	2.58309
0.00215	2.59649
0.00216	2.60919
0.00217	2.62116
0.00218	2.63237
0.00219	2.64278
0.0022	2.65237
0.00221	2.66109
0.00222	2.66894
0.00223	2.67587
0.00224	2.68186
0.00225	2.68689
0.00226	2.69094
0.00227	2.69398
0.00228	2.696
0.00229	2.69698
0.0023	2.69691
0.00231	2.69577
0.00232	2.69355
0.00233	2.69024
0.00234	2.68584
0.00235	2.68033
0.00236	2.67373
0.00237	2.66602
0.00238	2.65722
0.00239	2.64732
0.0024	2.63633
0.00241	2.62426
0.00242	2.61112
0.00243	2.59692
0.00244	2.58168
0.00245	2.56542
0.00246	2.54816
0.00247	2.52992
0.00248	2.51072
0.00249	2.49058
0.0025	2.46955
0.00251	2.44764
0.00252	2.4249
0.00253	2.40135
0.00254	2.37702
0.00255	2.35197
0.00256	2.32622
0.00257	2.29982
0.00258	2.27281
0.00259	2.24523
0.0026	2.21713
0.00261	2.18855
0.00262	2.15955
0.00263	2.13016
0.00264	2.10044
0.00265	2.07043
0.00266	2.0402
0.00267	2.00978
0.00268	1.97923
0.00269	1.9486
0.0027	1.91794
0.00271	1.8873
0.00272	1.85674
0.00273	1.82631
0.00274	1.79605
0.00275	1.76602
0.00276	1.73626
0.00277	1.70684
0.00278	1.67779
0.00279	1.64916
0.0028	1.621
0.00281	1.59336
0.00282	1.56628
0.00283	1.5398
0.00284	1.51397
0.00285	1.48883
0.00286	1.46441
0.00287	1.44075
0.00288	1.41788
0.00289	1.39585
0.0029	1.37468
0.00291	1.35441
0.00292	1.33505
0.00293	1.31664
0.00294	1.2992
0.00295	1.28275
0.00296	1.26731
0.00297	1.2529
0.00298	1.23954
0.00299	1.22722
0.003	1.21597
0.00301	1.2058
0.00302	1.19671
0.00303	1.1887
0.00304	1.18177
0.00305	1.17593
0.00306	1.17116
0.00307	1.16747
0.00308	1.16485
0.00309	1.16329
0.0031	1.16277
0.00311	1.16328
0.00312	1.16481
0.00313	1.16733
0.00314	1.17083
